co2,density,fdi,trade,gdp1,gdp2
0.85517641,4.3646105,-9.28E+08,86.776168,1836.2924,8.26E+09
2.9385141,633.95794,1.27E+10,85.830545,9011.0429,1.14E+10
3.0407664,64.815608,-2.65E+10,76.870262,8895.6152,1.12E+12
3.2678464,91.747326,-1.52E+08,79.265722,4375.7789,1.15E+10
6.4306453,2.1151336,-1.69E+09,112.83865,4041.1741,1.33E+10
4.0675609,46.193755,-5.36E+08,87.006018,7677.3713,4.77E+09
1.8185264,82.206525,-9.59E+08,68.843803,3258.269,1.21E+11
0.22276755,39.647803,-3.04E+09,99.906146,456.58192,1.42E+10
1.5880451,3.0233551,2.02E+08,76.925242,4252.0417,1.06E+10
0.50936625,204.73406,-1.27E+08,40.918866,1139.1899,3.34E+10
7.4715535,518.01307,-8.64E+10,146.46178,52162.57,9.10E+11
6.1607992,19.331586,-3.41E+09,43.98217,41785.692,2.13E+11
0.6782521,56.140061,-7.07E+08,88.906136,1877.1086,1.27E+10
0.09032558,19.210262,-3.46E+08,35.512991,564.84166,1.37E+10
3.6617704,73.597304,-1.73E+08,128.24124,6659.5965,1.24E+10
6.72508,14.767215,-7.13E+09,65.353979,68340.018,3.68E+11
15.636201,14.679803,-2.75E+09,91.8757,16707.623,7.59E+10
0.81036022,294.72388,-2.10E+09,26.71628,1322.3148,3.00E+11
8.8025818,39.069565,-43100000,106.34302,14532.558,2.61E+08
2.231443,57.891561,-78090318,67.41312,13293.333,5.71E+10
1.1445912,16.659187,-1.59E+08,62.760217,5353.3481,3.54E+10
1.398566,26.019341,1.22E+09,44.245967,6047.4755,2.01E+11
1.1896795,376.26514,-3.26E+09,58.16956,3224.4228,3.62E+11
7.3675634,123.80057,-1.41E+10,100.32421,15816.819,5.99E+11
3.7849076,112.40668,-5.74E+09,76.237488,22242.406,2.29E+11
31.726842,240.24238,5.16E+09,90.019095,52315.66,1.44E+11
3.5641375,83.732832,-3.40E+09,78.059113,13047.457,2.51E+11
11.141653,8.8689199,-3.63E+09,45.966908,10108.327,1.49E+12
0.10512414,532.88861,-1.53E+08,55.187951,773.9318,1.02E+10
0.9607824,77.31259,-2890991.9,77.4836,4042.7228,8.69E+08
14.266585,16.745255,3.79E+09,49.713476,20398.061,7.34E+11
0.64980056,85.369137,-1.75E+09,60.046872,1492.4759,2.45E+10
6.7145172,82.044548,-3.37E+09,104.71901,7733.8035,5.34E+10
6.0805184,214.04783,-1.35E+08,153.48333,14041.475,1.38E+09
0.12727761,114.07551,-1.73E+08,51.557938,493.43224,4.06E+09
7.6866837,7918.9513,-4.09E+10,331.69052,61466.804,3.50E+11
5.3190548,113.53634,2.77E+09,168.47916,19553.261,1.07E+11
5.9347352,104.40888,3.21E+08,146.58629,25558.429,5.37E+10
0.32306555,24.694212,-5653417.7,60.220338,2222.4621,1.54E+09
6.6875631,48.472848,-5.09E+09,50.686843,5753.0665,3.38E+11
4.2795946,94.815384,1.82E+10,60.119481,26984.296,1.28E+12
0.99668324,354.33236,-4.20E+08,37.08912,3846.1745,8.43E+10
0.46795393,23.79041,-7.17E+08,9.9551451,608.33252,2.70E+10
3.2429891,25.420723,3.84E+09,83.211003,52837.904,5.47E+11
4.0420728,218.63447,1.32E+11,121.78598,85897.784,7.42E+11
0.97753302,68.760048,-36199831,55.749104,852.3302,8.13E+09
0.23394559,69.65965,-9.44E+08,27.963015,1104.1644,6.61E+10
3.7142558,139.90421,2.35E+10,97.800743,7001.8503,5.01E+11
0.34315517,87.424008,7.13E+08,84.750311,1663.5596,2.16E+09
0.28606184,155.22302,-53056160,55.548539,876.54297,7.40E+09
1.1220476,146.18611,-2746117,85.534023,4605.9708,4.85E+08
2.4086225,78.280915,-5.92E+08,84.333259,3493.8977,4.25E+10
4.8858639,108.34385,-4.43E+09,61.343755,8638.7391,7.20E+11
0.12779303,221.44729,-1.19E+09,37.000692,846.7672,3.76E+10
3.7473878,76.299196,58000000,79.156452,3751.7373,1.57E+11
4.6011423,277.27539,-1.41E+11,58.774559,40217.009,2.70E+12
13.032222,36.242671,1.48E+11,23.104753,64317.399,2.13E+13
1.8997191,19.592538,-1.02E+09,46.686148,15651.003,5.37E+10
3.3763038,77.685351,-1.72E+09,61.83919,1759.3075,6.02E+10
0.38917497,25.568909,-39693810,62.966387,2917.7568,9.09E+08
3.6764401,308.3591,-1.54E+10,163.24586,3586.3472,3.47E+11
0.40190271,25.461353,-1.81E+08,79.206849,958.2649,1.81E+10
0.53048355,40.505793,-1.54E+08,47.313365,1372.6967,2.15E+10
5.3978252,129.46421,-2.00E+11,82.84455,37915.383,1.32E+13
