year,id,inv_w1,inviapply_w1,dige_w1,lerner_w1,bsize_w1,post_w1,bodi_w1,age_w1,fixpro_w1,exp_w1,flows_w1,subsidies_w1,profit_w1,industrycode,hyid,yb
2009,35,1.60944,1.60944,0.9858465,0.336985,2.19722,0,0.333333,2.99573,0.516902,0.037739,0.120233,0.777248,6.72995,C26,8,61
2010,35,2.30259,0.693147,0.9948912,0.394198,2.19722,0,0.333333,3.04452,0.4924,0.046153,0.173819,0.571549,9.03581,C26,8,61
2012,35,1.38629,1.38629,1.026542,-0.51864,2.19722,0,0.333333,3.13549,0.595248,0.056317,0.039445,0.424448,6.15085,C26,8,61
2016,35,2.63906,2.63906,0.6653163,0.551147,2.19722,1,0.333333,3.29584,0.637145,0.084397,0.196997,0.555917,8.59945,C26,8,61
2017,35,2.89037,2.3979,1.207105,0.49523,2.19722,1,0.333333,3.3322,0.601691,0.092792,0.030135,0.414557,8.35546,C26,8,61
2007,37,3.93183,2.30259,0.2011766,1.80199,2.19722,1,0.333333,2.70805,0.324273,0.111329,0.084378,0.182584,11.0349,C27,9,51
2008,37,3.4012,2.3979,0.2487143,1.78409,2.19722,1,0.333333,2.77259,0.315582,0.096067,0.118057,0.3146,9.26534,C27,9,51
2009,37,3.09104,2.63906,0.9951025,2.23773,2.19722,1,0.333333,2.83321,0.262746,0.091194,0.158392,0.188254,10.9843,C27,9,51
2010,37,3.61092,3.04452,0.3505896,1.93015,2.19722,1,0.333333,2.89037,0.219537,0.097513,0.172938,0.360696,10.8849,C27,9,51
2011,37,3.43399,2.77259,1.359594,1.56962,2.19722,1,0.333333,2.94444,0.23693,0.0941,0.15386,0.696225,10.7432,C27,9,51
2012,37,3.52636,3.13549,1.46781,1.47369,2.19722,1,0.333333,2.99573,0.200095,0.089015,0.10543,0.746651,10.9337,C27,9,51
2013,37,3.71357,3.3673,1.734758,1.46368,2.3979,0,0.454545,3.04452,0.301083,0.094679,0.06701,0.591572,11.0492,C27,9,51
2014,37,3.80666,3.73767,2.226053,1.31412,2.3979,0,0.454545,3.09104,0.403085,0.083785,0.098238,0.915119,11.0852,C27,9,51
2015,37,3.61092,2.70805,2.666778,1.3552,2.3979,0,0.454545,3.13549,0.411483,0.091579,0.11486,1.58068,11.2996,C27,9,51
2016,37,3.97029,3.66356,3.181977,1.44935,2.3979,0,0.454545,3.17805,0.317304,0.094697,0.121491,1.21662,11.518,C27,9,51
2017,37,4.21951,3.61092,3.571181,1.46378,2.30259,0,0.5,3.21888,0.208911,0.10948,0.082771,0.578478,13.2451,C27,9,51
2007,38,0,0,0.0260722,0.267017,2.30259,0,0.333333,2.70805,0.605734,0.079182,0.012725,1.05444,7.34135,C26,8,40
2010,39,0,0,0.5723705,0.89489,1.79176,1,0.333333,2.89037,0.261255,0.25895,0.227039,1.38081,6.77978,C27,9,21
2011,39,0.693147,0.693147,1.070821,0.700436,1.79176,1,0.333333,2.94444,0.231672,0.287865,0.02069,0.040827,6.15104,C27,9,21
2012,39,0.693147,0.693147,0.6938742,0.933336,1.60944,1,0.4,2.99573,0.244936,0.272049,0.059773,0.187829,7.6546,C27,9,21
2014,39,1.09861,1.09861,0.9313635,1.7507,1.60944,1,0.4,3.09104,0.30759,0.305804,0.024557,0.016771,3.7773,C27,9,21
2016,39,1.60944,0,1.142181,0.776594,1.60944,1,0.4,3.17805,0.234741,0.253873,0.011382,0.000246,7.15201,C27,9,21
2017,39,1.38629,1.38629,1.630684,0.437561,1.79176,1,0.5,3.21888,0.078761,0.230674,-0.011577,0.205754,7.42849,C27,9,21
2007,40,1.09861,1.09861,0.0565578,-0.697725,1.94591,0,0.428571,2.94444,0.25057,0.118851,-0.084168,0.90604,7.64718,C34,16,61
2009,40,1.09861,1.09861,1.129688,0.239951,1.94591,0,0.428571,3.04452,0.303696,0.131271,-0.040738,0.614101,5.96618,C34,16,61
2010,40,2.07944,1.09861,1.197624,-0.240744,1.94591,0,0.428571,3.09104,0.317957,0.151024,-0.030566,0.41223,7.06483,C34,16,61
2012,40,1.38629,1.38629,1.026542,-0.162491,1.94591,0,0.428571,3.17805,0.275429,0.11557,0.010883,0.158022,6.25305,C34,16,61
2013,40,3.17805,2.3979,0.9214274,2.53702,2.19722,0,0.333333,3.21888,0.302945,0.091897,-0.025281,0.124721,10.7391,C30,12,45
2014,40,3.3322,1.94591,1.190272,2.51051,2.19722,0,0.333333,3.2581,0.03319,0.088573,-0.004047,0.01918,10.7714,C30,12,45
2015,40,3.61092,2.48491,1.010512,2.01843,2.19722,0,0.333333,3.29584,0.349322,0.124281,-0.027406,0.315461,10.2318,C30,12,45
2016,40,4.12713,2.83321,1.922268,0.629357,2.19722,0,0.333333,3.3322,0.247496,0.12651,0.015321,0.221709,9.79389,C30,12,45
2017,40,4.45435,3.80666,1.946714,0.562566,2.07944,0,0.375,3.3322,0.250214,0.116577,0.055196,0.135344,9.62089,C35,17,45
2007,41,1.94591,0.693147,0.0312408,0.156399,1.94591,0,0.428571,2.70805,0.09465,0.027206,0.057925,0.280653,7.73108,C38,20,23
2008,41,2.30259,0,0.0364147,0.246801,2.19722,0,0.333333,2.77259,0.196805,0.033016,0.056019,0.295819,8.00383,C38,20,23
2009,41,3.52636,2.48491,1.568954,0.271519,2.19722,0,0.333333,2.83321,0.16768,0.029186,-0.001544,1.16061,10.4854,C38,20,23
2010,41,4.15888,2.3979,1.577043,0.03909,2.19722,0,0.333333,2.89037,0.121587,0.028203,0.052566,3.35664,10.5367,C38,20,23
2011,41,4.58497,2.83321,1.788069,-0.023407,2.19722,0,0.444444,2.94444,0.123105,0.035679,-0.05461,1.74517,9.32671,C38,20,23
2012,41,5.14749,3.61092,2.069745,0.163522,2.19722,0,0.444444,2.99573,0.157731,0.037383,0.053203,1.69352,10.053,C38,20,23
2013,41,4.81218,3.68888,2.489265,0.29746,2.19722,0,0.444444,3.04452,0.133622,0.038105,0.063246,0.341962,10.3291,C38,20,23
2014,41,5.01728,3.78419,2.459941,0.271439,2.19722,0,0.333333,3.09104,0.135838,0.043499,0.018366,0.456936,10.4557,C38,20,23
2015,41,5.40717,3.89182,2.757507,0.114651,2.19722,0,0.333333,3.13549,0.134657,0.040293,0.023325,0.406383,8.08479,C38,20,23
